gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2802893290	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/78613708/original.jpeg	https://www.inaturalist.org/photos/78613708					2008-06-22T14:15:09Z	dickcannings		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dickcannings
2802813471	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/79180362/original.jpg	https://www.inaturalist.org/photos/79180362					2020-06-06T18:44:38Z	Thomas Barbin		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Thomas Barbin
2802712406	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/80140230/original.jpg	https://www.inaturalist.org/photos/80140230					2020-06-04T06:13:36Z	Jason Headley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jason Headley
2802689528	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/80217410/original.jpg	https://www.inaturalist.org/photos/80217410					2020-06-06T19:43:18Z	Jason Headley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jason Headley
2802583248	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/79199172/original.jpeg	https://www.inaturalist.org/photos/79199172					2020-06-06T18:44:47Z	Kate McKeown		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kate McKeown
2641607580	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/77972326/original.jpg	https://www.inaturalist.org/photos/77972326					2020-06-10T14:12:40Z	sborland		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sborland
2641540848	Sound	audio/mp4	https://static.inaturalist.org/sounds/103239.m4a?1591459853	https://www.inaturalist.org/photos/103239					2020-06-06T16:10:53Z	dickcannings		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dickcannings
2641537915	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/77284390/original.jpeg	https://www.inaturalist.org/photos/77284390					2020-05-31T20:21:09Z	Sean Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Daniels
2641537915	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/77284454/original.jpeg	https://www.inaturalist.org/photos/77284454					2020-05-31T20:21:12Z	Sean Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Daniels
2641408968	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/77268837/original.jpeg	https://www.inaturalist.org/photos/77268837					2020-05-27T00:57:54Z	Sean Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Daniels
2641408968	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/77268906/original.jpeg	https://www.inaturalist.org/photos/77268906					2020-05-27T00:57:54Z	Sean Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Daniels
2641295693	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/77063614/original.jpeg	https://www.inaturalist.org/photos/77063614					2020-06-01T15:11:16Z	Bridget Spencer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bridget Spencer
2641295693	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/77063619/original.jpeg	https://www.inaturalist.org/photos/77063619					2020-06-01T15:11:21Z	Bridget Spencer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bridget Spencer
